TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
263.59,Debit,Dallas,Branch,71,Retired,16,1,6996.35,0
3.44,Debit,Fort Worth,ATM,78,Retired,108,1,7561.33,0
115.11,Debit,Albuquerque,Online,28,Engineer,139,1,9808.97,0
1162.42,Credit,Detroit,Online,30,Doctor,45,1,10357.26,0
282.26,Debit,Memphis,Online,37,Engineer,278,1,6857.2,0
14.0,Debit,San Antonio,ATM,49,Engineer,173,1,7975.18,0
373.99,Debit,Sacramento,ATM,60,Doctor,140,1,8590.5,0
266.57,Credit,Boston,Online,39,Engineer,96,1,7180.48,0
810.36,Debit,Columbus,ATM,20,Student,67,1,9239.12,0
340.05,Debit,Detroit,ATM,43,Engineer,37,1,7234.15,0
247.93,Debit,Indianapolis,Branch,37,Engineer,79,1,9801.48,0
100.99,Debit,New York,ATM,68,Doctor,114,1,8865.27,0
607.28,Debit,Baltimore,ATM,32,Doctor,84,1,9679.68,0
50.83,Credit,Philadelphia,Online,30,Doctor,48,1,9553.42,0
264.14,Debit,Baltimore,ATM,64,Doctor,125,1,8459.26,0
119.61,Debit,San Diego,ATM,33,Doctor,53,1,9899.94,0
7.56,Debit,Milwaukee,ATM,40,Doctor,145,1,8528.72,0
58.7,Debit,New York,Branch,67,Doctor,141,1,8937.35,0
156.26,Credit,Virginia Beach,Branch,46,Engineer,160,1,7854.1,0
427.0,Credit,Oklahoma City,Branch,49,Engineer,163,1,8253.65,0
35.73,Debit,Miami,Branch,65,Doctor,87,1,9073.17,0
35.16,Debit,Chicago,Branch,32,Engineer,130,1,8459.18,0
56.12,Debit,El Paso,ATM,30,Doctor,102,1,8839.67,0
329.4,Debit,Denver,Online,34,Doctor,68,1,9588.07,0
770.65,Debit,Jacksonville,Online,31,Doctor,137,1,7198.8,0
137.86,Credit,Sacramento,Online,66,Doctor,120,1,8046.94,0
118.1,Debit,Fort Worth,ATM,50,Engineer,50,1,7976.6,0
256.34,Debit,Kansas City,Branch,69,Retired,99,1,7471.63,0
106.39,Debit,Virginia Beach,Online,37,Doctor,281,1,9410.99,0
136.88,Credit,Memphis,Branch,24,Student,71,1,7465.95,0
91.77,Debit,Omaha,Branch,51,Doctor,174,1,9240.73,0
178.39,Debit,Tucson,Online,34,Engineer,98,1,8469.43,0
93.82,Debit,San Diego,Online,39,Engineer,176,1,8422.06,0
326.29,Debit,Denver,Online,56,Engineer,179,1,8171.26,0
121.43,Credit,Sacramento,Branch,52,Engineer,243,1,7365.28,0
918.95,Debit,Seattle,Online,68,Doctor,139,1,7006.46,0
17.42,Debit,Dallas,ATM,74,Retired,150,1,6851.31,0
216.03,Debit,Boston,ATM,42,Doctor,300,1,10462.77,0
21.4,Credit,Kansas City,Online,48,Engineer,129,1,8551.6,0
312.47,Debit,Milwaukee,ATM,49,Engineer,148,4,9419.27,0
346.11,Debit,Dallas,Branch,41,Engineer,213,1,9551.64,0
158.02,Debit,New York,ATM,49,Engineer,120,1,9374.24,0
435.5,Debit,Oklahoma City,ATM,55,Retired,112,1,6981.03,0
110.49,Debit,Raleigh,Online,57,Doctor,48,1,10483.93,0
246.27,Debit,Fresno,Online,29,Doctor,141,1,7299.86,0
276.56,Debit,Austin,Branch,68,Doctor,15,1,8942.58,0
435.98,Debit,Mesa,Branch,30,Engineer,105,1,7334.08,0
820.15,Debit,Kansas City,Branch,47,Doctor,181,1,8802.97,0
54.34,Debit,Albuquerque,ATM,65,Doctor,46,1,8019.89,0
729.38,Debit,Los Angeles,ATM,68,Doctor,90,1,9127.65,0
383.95,Credit,San Diego,Online,31,Engineer,143,1,9933.56,0
320.93,Debit,Atlanta,Online,55,Engineer,178,1,9451.66,0
244.64,Debit,Tucson,Branch,30,Doctor,103,1,9159.56,0
388.65,Debit,Oklahoma City,ATM,76,Retired,43,1,7896.85,0
378.2,Debit,Mesa,Branch,40,Engineer,167,1,7372.81,0
398.7,Debit,Albuquerque,ATM,47,Doctor,276,1,7987.74,0
18.23,Debit,Nashville,ATM,56,Engineer,28,1,8422.2,0
389.63,Debit,Mesa,Online,27,Engineer,99,1,9748.48,0
154.21,Debit,Miami,Online,46,Engineer,75,1,8045.77,0
142.58,Debit,San Antonio,ATM,33,Engineer,145,1,7844.23,0
116.27,Debit,Portland,Online,57,Engineer,94,1,8726.92,0
319.27,Debit,San Antonio,ATM,50,Doctor,150,1,10269.78,0
96.25,Debit,Houston,Online,61,Retired,171,1,7996.7,0
122.81,Debit,San Jose,Branch,52,Doctor,12,1,8450.84,0
327.8,Debit,San Francisco,ATM,61,Doctor,54,1,10585.48,0
199.14,Debit,Seattle,Branch,31,Engineer,36,1,7001.25,0
10.92,Debit,Jacksonville,ATM,67,Retired,268,1,7567.2,0
83.95,Debit,New York,Online,75,Retired,170,1,7413.18,0
737.34,Debit,Miami,Online,30,Doctor,34,1,7336.56,0
1.87,Debit,Washington,ATM,65,Retired,147,1,7287.94,0
46.12,Debit,Fresno,Branch,59,Doctor,30,1,8874.01,0
637.97,Debit,New York,Branch,58,Retired,90,1,7949.03,0
180.94,Debit,Raleigh,Branch,75,Retired,57,1,7659.99,0
642.68,Debit,Fresno,Branch,50,Doctor,94,1,8461.46,0
78.44,Credit,San Jose,Online,52,Retired,292,1,6870.84,0
1294.81,Credit,Washington,Branch,45,Engineer,279,1,9927.75,0
499.99,Debit,San Jose,Branch,31,Engineer,296,1,8885.0,0
120.62,Debit,Raleigh,ATM,23,Student,85,1,9379.53,0
152.34,Debit,Omaha,Branch,55,Doctor,115,1,6853.51,0
265.44,Debit,San Antonio,ATM,30,Engineer,169,1,9700.77,0
373.27,Credit,Miami,Online,61,Doctor,79,1,8441.61,0
172.5,Debit,Columbus,Online,68,Doctor,31,1,6851.16,0
733.29,Debit,Virginia Beach,ATM,52,Doctor,94,5,10427.0,0
291.27,Debit,Detroit,Branch,77,Retired,121,1,6878.86,0
93.63,Debit,New York,ATM,29,Engineer,141,1,9873.62,0
470.3,Debit,Austin,ATM,40,Doctor,88,1,8524.09,0
49.84,Debit,Chicago,ATM,49,Doctor,146,1,7872.04,0
211.1,Debit,Miami,Branch,57,Retired,136,1,7059.77,0
331.66,Debit,Las Vegas,ATM,76,Retired,145,1,7216.3,0
63.58,Debit,Columbus,ATM,18,Student,199,1,8086.04,0
1353.93,Debit,El Paso,Branch,26,Engineer,171,1,7858.41,0
568.76,Debit,Baltimore,ATM,51,Retired,155,1,7484.32,0
369.89,Debit,San Antonio,ATM,69,Retired,69,1,6941.47,0
43.73,Debit,Omaha,ATM,34,Doctor,145,1,9929.43,0
245.93,Debit,Fresno,Branch,54,Engineer,172,1,7986.63,0
266.57,Debit,El Paso,ATM,72,Retired,100,1,7676.92,0
119.11,Debit,Detroit,ATM,57,Engineer,131,1,7998.25,0
347.25,Debit,Indianapolis,ATM,69,Doctor,250,1,7273.55,0
178.55,Debit,Houston,Branch,55,Engineer,67,1,7568.4,0
3.85,Debit,San Jose,ATM,29,Doctor,32,1,10506.41,0
296.0,Debit,Las Vegas,Branch,35,Doctor,248,1,7418.82,0
27.64,Debit,New York,Online,54,Engineer,23,1,7498.51,0
61.33,Debit,Raleigh,ATM,27,Engineer,129,1,7537.4,0
778.49,Credit,Omaha,Online,75,Retired,107,1,7713.67,0
259.49,Debit,Austin,Online,72,Retired,292,1,7320.61,0
165.25,Debit,Sacramento,Online,35,Doctor,106,1,9939.94,0
14.29,Debit,Los Angeles,ATM,34,Engineer,150,1,7016.99,0
1237.56,Credit,Austin,Branch,60,Engineer,159,1,9410.17,0
293.97,Debit,Phoenix,Branch,68,Retired,153,1,7371.85,0
251.06,Debit,Colorado Springs,Online,36,Doctor,34,1,10001.66,0
50.17,Credit,Sacramento,ATM,77,Retired,35,1,7752.14,0
21.4,Debit,Fresno,Branch,34,Engineer,258,1,9594.11,0
1512.99,Debit,Philadelphia,Online,19,Student,50,1,9963.39,0
54.61,Debit,Milwaukee,ATM,58,Engineer,160,1,7135.64,0
331.98,Debit,Denver,ATM,74,Retired,12,1,7600.99,0
617.36,Debit,Kansas City,Branch,29,Engineer,61,1,8926.38,0
199.54,Debit,Portland,Online,56,Engineer,268,1,9603.73,0
306.37,Debit,Colorado Springs,ATM,26,Engineer,120,1,9609.67,0
13.71,Credit,Denver,Online,38,Engineer,148,1,8342.79,0
96.54,Debit,New York,Branch,58,Retired,95,1,7182.22,0
864.72,Credit,Detroit,Branch,34,Engineer,58,1,7379.38,0
39.66,Debit,Virginia Beach,Branch,52,Engineer,169,1,8497.34,0
188.61,Debit,Boston,Online,67,Retired,26,1,7167.57,0
58.23,Debit,Phoenix,Online,28,Student,34,1,9189.76,0
162.36,Debit,Tucson,Online,36,Engineer,147,1,7527.04,0
72.82,Debit,Houston,Online,68,Doctor,127,1,6911.62,0
6.3,Debit,Columbus,Branch,80,Retired,283,5,7697.68,0
107.47,Debit,Austin,Online,67,Retired,144,1,7517.5,0
826.23,Debit,Colorado Springs,ATM,29,Doctor,209,1,7580.59,0
202.86,Credit,Memphis,Branch,61,Doctor,149,1,7642.25,0
357.72,Debit,Miami,ATM,53,Retired,25,1,7659.5,0
199.23,Debit,Tucson,ATM,29,Engineer,54,1,9834.0,0
712.75,Debit,Philadelphia,Branch,44,Doctor,25,1,8126.06,0
885.33,Credit,Raleigh,ATM,47,Engineer,59,1,7764.16,0
212.74,Debit,Seattle,Branch,27,Engineer,128,1,7645.47,0
364.42,Debit,Colorado Springs,ATM,51,Engineer,146,1,8119.73,0
390.35,Credit,Omaha,ATM,64,Doctor,61,1,7095.88,0
98.48,Debit,Miami,Branch,47,Engineer,12,1,9538.92,0
416.37,Debit,Columbus,Online,35,Engineer,67,1,7936.91,0
622.41,Debit,Indianapolis,ATM,64,Doctor,125,1,7322.01,0
219.63,Debit,Charlotte,ATM,48,Doctor,44,1,8013.63,0
376.79,Debit,Milwaukee,Branch,68,Retired,265,1,7749.14,0
384.11,Debit,Fort Worth,ATM,58,Retired,12,1,7902.52,0
179.0,Debit,Houston,ATM,78,Retired,121,1,7310.88,0
65.57,Debit,Miami,Online,41,Engineer,82,1,7513.79,0
64.9,Credit,Detroit,Branch,51,Retired,72,1,6854.61,0
777.92,Debit,Austin,Branch,62,Doctor,97,1,7061.58,0
22.15,Debit,Denver,Branch,44,Doctor,73,1,7451.83,0
214.93,Debit,Albuquerque,Online,28,Student,52,1,7835.4,0
184.51,Credit,Portland,Online,54,Doctor,118,1,9381.64,0
42.55,Debit,Seattle,Branch,53,Engineer,29,1,7341.43,0
132.48,Debit,Charlotte,Branch,36,Engineer,101,1,9313.05,0
558.86,Debit,Austin,ATM,60,Doctor,95,1,9844.32,0
1182.86,Debit,Tucson,Online,30,Engineer,34,1,7696.16,0
56.94,Credit,Charlotte,Online,76,Retired,74,1,7004.63,0
186.69,Debit,New York,Branch,30,Engineer,54,1,8602.22,0
65.09,Credit,Seattle,Online,44,Engineer,159,1,9370.9,0
457.09,Credit,Nashville,Online,55,Engineer,63,1,8570.82,0
420.28,Debit,Washington,Branch,35,Doctor,144,1,8557.32,0
23.7,Debit,San Francisco,ATM,46,Doctor,32,1,7947.44,0
106.16,Debit,Phoenix,ATM,56,Doctor,277,4,7487.79,0
37.57,Debit,El Paso,ATM,57,Retired,42,1,7739.54,0
484.24,Debit,Raleigh,Branch,67,Doctor,77,1,8042.3,0
68.19,Credit,Fresno,Online,40,Doctor,189,1,9895.1,0
120.9,Debit,Tucson,Branch,40,Doctor,52,1,9009.42,0
1001.83,Debit,Philadelphia,Online,31,Doctor,55,1,9733.83,0
36.63,Debit,Miami,ATM,75,Retired,261,1,7941.73,0
78.93,Debit,Mesa,ATM,38,Doctor,145,1,9916.24,0
758.77,Debit,San Antonio,ATM,60,Engineer,114,1,7231.47,0
346.85,Debit,Kansas City,ATM,44,Doctor,88,1,7208.15,0
71.95,Credit,Omaha,Online,59,Engineer,53,1,9267.32,0
80.38,Debit,Kansas City,Online,52,Doctor,116,1,9662.88,0
310.09,Debit,Detroit,Branch,36,Doctor,166,1,9962.5,0
224.22,Debit,Fresno,Branch,53,Doctor,37,1,8400.87,0
1225.5,Credit,Las Vegas,Online,50,Doctor,109,1,8611.17,0
135.27,Debit,Atlanta,ATM,48,Doctor,131,1,9410.51,0
26.31,Credit,Austin,Online,77,Retired,163,1,7095.76,0
378.68,Debit,Fort Worth,ATM,60,Doctor,239,1,7627.04,0
742.26,Debit,San Diego,Online,27,Engineer,36,1,7868.19,0
188.99,Debit,Oklahoma City,Branch,58,Engineer,92,1,7315.34,0
308.68,Debit,Milwaukee,Online,53,Doctor,170,1,9992.36,0
129.35,Debit,Las Vegas,ATM,52,Engineer,130,1,7166.88,0
223.43,Debit,Dallas,Branch,77,Retired,178,1,7932.41,0
76.89,Debit,Chicago,ATM,55,Doctor,132,1,7374.26,0
286.5,Credit,Boston,Branch,30,Engineer,60,1,8517.95,0
361.22,Debit,Raleigh,ATM,64,Retired,167,1,7061.73,0
827.14,Debit,El Paso,Branch,36,Engineer,265,4,9800.21,0
61.97,Debit,Phoenix,ATM,74,Retired,95,1,7014.69,0
261.19,Debit,Oklahoma City,ATM,64,Retired,52,1,7620.6,0
75.04,Debit,El Paso,ATM,49,Engineer,178,1,9648.6,0
162.65,Debit,New York,ATM,59,Engineer,147,1,9500.95,0
463.11,Credit,Las Vegas,Branch,51,Doctor,159,1,10238.82,0
150.03,Debit,Columbus,ATM,73,Retired,176,1,7491.42,0
111.08,Debit,Chicago,Online,70,Doctor,83,1,7037.34,0
1095.09,Debit,San Francisco,ATM,29,Engineer,52,1,8692.47,0
353.69,Debit,San Jose,Online,59,Engineer,163,1,9500.79,0
206.63,Credit,Oklahoma City,Online,59,Retired,128,1,7626.53,0
617.66,Debit,Boston,ATM,42,Engineer,128,1,7155.95,0
888.57,Debit,San Antonio,Online,62,Retired,102,1,7896.14,0
19.11,Credit,Colorado Springs,Online,49,Engineer,160,1,8478.46,0
21.27,Credit,Indianapolis,Online,62,Retired,114,1,7392.79,0
7.76,Credit,Las Vegas,Online,52,Retired,84,1,7393.11,0
53.14,Debit,Las Vegas,ATM,34,Doctor,70,1,7915.0,0
361.92,Debit,Detroit,ATM,54,Retired,111,1,7474.31,0
71.29,Debit,Chicago,ATM,68,Retired,55,2,7225.63,0
122.45,Debit,New York,Branch,46,Doctor,98,1,7255.49,0
56.62,Debit,Austin,Branch,54,Doctor,121,1,8981.1,0
382.07,Credit,Omaha,Branch,62,Doctor,147,1,10156.09,0
215.72,Credit,Columbus,Branch,30,Engineer,137,1,8697.11,0
156.58,Debit,Portland,Branch,24,Student,160,1,8981.61,0
90.88,Debit,Colorado Springs,ATM,26,Engineer,284,1,7117.35,0
60.11,Credit,Albuquerque,Branch,61,Retired,122,1,7235.87,0
116.88,Debit,Memphis,ATM,45,Doctor,263,1,7717.34,0
278.23,Debit,Fresno,Online,48,Engineer,83,1,8300.54,0
345.94,Debit,Portland,ATM,31,Doctor,163,1,7624.56,0
512.95,Debit,Columbus,Branch,57,Engineer,143,1,9584.52,0
405.6,Debit,Tucson,Online,37,Engineer,44,1,9754.73,0
81.35,Debit,Houston,Online,41,Engineer,103,1,7192.45,0
314.54,Credit,Virginia Beach,Branch,58,Engineer,228,1,9923.45,0
422.9,Debit,Tucson,ATM,40,Engineer,111,1,7616.43,0
472.48,Debit,New York,Branch,55,Engineer,87,1,7128.82,0
65.32,Debit,Mesa,ATM,28,Student,54,1,9165.02,0
67.15,Debit,Indianapolis,Online,59,Doctor,14,1,9028.49,0
315.94,Credit,Raleigh,Branch,49,Doctor,172,1,7719.71,0
520.86,Credit,Sacramento,Online,51,Engineer,66,1,9200.74,0
212.14,Debit,Austin,Branch,72,Retired,105,1,7225.06,0
57.07,Credit,Boston,Online,31,Doctor,99,1,9323.71,0
4.24,Debit,San Diego,Online,38,Engineer,38,1,7822.73,0
50.29,Credit,Raleigh,Online,58,Doctor,64,1,7604.9,0
19.39,Debit,Colorado Springs,ATM,43,Doctor,45,1,9847.6,0
393.92,Debit,Memphis,Branch,72,Retired,47,1,7318.64,0
127.8,Credit,Virginia Beach,Branch,31,Engineer,47,1,8630.99,0
460.09,Credit,Fresno,Online,35,Doctor,146,3,6990.64,0
328.77,Credit,San Diego,Online,39,Doctor,247,1,6967.03,0
886.19,Debit,Colorado Springs,Branch,61,Retired,69,1,7904.24,0
212.88,Debit,Fresno,Online,39,Doctor,122,1,7036.72,0
268.92,Debit,Chicago,Branch,29,Engineer,148,1,8765.38,0
