"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"21/09/2023","9.675","9.575","9.675","9.550","11,26M","1,04%"
"20/09/2023","9.575","9.450","9.675","9.450","41,11M","1,32%"
"19/09/2023","9.450","9.375","9.525","9.350","14,78M","1,07%"
"18/09/2023","9.350","9.475","9.500","9.350","16,41M","-1,32%"
"15/09/2023","9.475","9.450","9.525","9.425","36,67M","0,26%"
"14/09/2023","9.450","9.400","9.500","9.350","28,60M","1,07%"
"13/09/2023","9.350","9.325","9.375","9.275","22,48M","0,54%"
"12/09/2023","9.300","9.450","9.450","9.300","26,54M","-1,59%"
"11/09/2023","9.450","9.375","9.500","9.300","27,47M","0,80%"
"08/09/2023","9.375","9.500","9.500","9.350","24,99M","-1,32%"
"07/09/2023","9.500","9.575","9.575","9.400","26,28M","-0,78%"
"06/09/2023","9.575","9.675","9.675","9.575","30,28M","-0,52%"
"05/09/2023","9.625","9.450","9.700","9.450","50,33M","1,85%"
"04/09/2023","9.450","9.250","9.525","9.200","73,45M","3,00%"
"01/09/2023","9.175","9.200","9.225","9.175","8,35M","0,00%"
"31/08/2023","9.175","9.200","9.250","9.175","32,00M","-0,27%"
"30/08/2023","9.200","9.175","9.300","9.175","41,63M","0,55%"
"29/08/2023","9.150","9.100","9.200","9.100","24,89M","0,55%"
"28/08/2023","9.100","9.100","9.150","9.075","10,97M","0,00%"
"25/08/2023","9.100","9.100","9.125","9.050","13,73M","-0,27%"
"24/08/2023","9.125","9.075","9.150","9.075","14,25M","0,55%"
"23/08/2023","9.075","9.100","9.125","9.075","13,67M","-0,27%"
"22/08/2023","9.100","9.125","9.150","9.075","15,36M","-0,27%"
"21/08/2023","9.125","9.075","9.125","9.050","17,98M","0,83%"
"18/08/2023","9.050","9.075","9.075","8.975","25,83M","-0,55%"
"16/08/2023","9.100","9.100","9.125","8.950","33,38M","0,00%"
"15/08/2023","9.100","9.200","9.225","9.100","24,37M","-1,09%"
"14/08/2023","9.200","9.125","9.250","9.100","45,22M","1,10%"
"11/08/2023","9.100","9.100","9.125","9.050","16,98M","0,00%"
"10/08/2023","9.100","9.100","9.125","9.050","24,47M","0,28%"
"09/08/2023","9.075","8.925","9.100","8.925","33,84M","1,68%"
"08/08/2023","8.925","9.000","9.025","8.900","16,45M","-0,83%"
"07/08/2023","9.000","9.000","9.050","9.000","17,52M","0,00%"
"04/08/2023","9.000","8.950","9.050","8.925","28,11M","0,56%"
"03/08/2023","8.950","8.875","9.000","8.850","41,08M","0,85%"
"02/08/2023","8.875","8.700","8.875","8.700","33,23M","2,31%"
"01/08/2023","8.675","8.825","8.850","8.625","68,14M","-2,25%"
"31/07/2023","8.875","8.900","8.950","8.825","32,51M","0,00%"
"28/07/2023","8.875","8.900","8.925","8.800","40,62M","-0,28%"
"27/07/2023","8.900","8.925","8.950","8.900","42,79M","-0,56%"
"26/07/2023","8.950","9.025","9.050","8.925","52,00M","-0,83%"
"25/07/2023","9.025","9.050","9.125","9.025","22,98M","0,00%"
"24/07/2023","9.025","9.000","9.075","9.000","18,74M","-0,28%"
"21/07/2023","9.050","9.050","9.050","9.000","9,79M","0,00%"
"20/07/2023","9.050","8.925","9.050","8.925","31,27M","1,69%"
"18/07/2023","8.900","8.950","9.000","8.900","38,71M","-0,56%"
"17/07/2023","8.950","8.950","9.025","8.950","30,01M","0,28%"
"14/07/2023","8.925","8.925","8.975","8.900","21,80M","0,28%"
"13/07/2023","8.900","8.975","9.025","8.875","58,00M","-0,56%"
"12/07/2023","8.950","9.000","9.025","8.925","41,96M","-0,28%"
"11/07/2023","8.975","9.025","9.075","8.975","23,08M","-0,83%"
"10/07/2023","9.050","9.075","9.125","9.050","9,92M","-0,28%"
"07/07/2023","9.075","9.100","9.150","9.075","12,36M","-0,27%"
"06/07/2023","9.100","9.150","9.200","9.075","24,15M","-0,55%"
"05/07/2023","9.150","9.125","9.150","9.075","8,36M","0,55%"
"04/07/2023","9.100","9.225","9.225","9.050","15,97M","-1,36%"
"03/07/2023","9.225","9.200","9.250","9.150","31,57M","0,82%"
