Tanggal	Terakhir	Pembukaan	Tertinggi	Terendah	"Vol,"	Perubahan%
21/09/2023	"9,6"	"9,575"	"9,675"	"9,55"	"28,08M"	"0,26%"
20/09/2023	"9,575"	"9,45"	"9,675"	"9,45"	"41,11M"	"1,32%"
19/09/2023	"9,45"	"9,375"	"9,525"	"9,35"	"14,78M"	"1,07%"
18/09/2023	"9,35"	"9,475"	"9,5"	"9,35"	"16,41M"	"-1,32%"
15/09/2023	"9,475"	"9,45"	"9,525"	"9,425"	"36,67M"	"0,26%"
14/09/2023	"9,45"	"9,4"	"9,5"	"9,35"	"28,60M"	"1,07%"
13/09/2023	"9,35"	"9,325"	"9,375"	"9,275"	"22,48M"	"0,54%"
12/9/2023	"9,3"	"9,45"	"9,45"	"9,3"	"26,54M"	"-1,59%"
11/9/2023	"9,45"	"9,375"	"9,5"	"9,3"	"27,47M"	"0,80%"
8/9/2023	"9,375"	"9,5"	"9,5"	"9,35"	"24,99M"	"-1,32%"
7/9/2023	"9,5"	"9,575"	"9,575"	"9,4"	"26,28M"	"-0,78%"
6/9/2023	"9,575"	"9,675"	"9,675"	"9,575"	"30,28M"	"-0,52%"
5/9/2023	"9,625"	"9,45"	"9,7"	"9,45"	"50,33M"	"1,85%"
4/9/2023	"9,45"	"9,25"	"9,525"	"9,2"	"73,45M"	"3,00%"
1/9/2023	"9,175"	"9,2"	"9,225"	"9,175"	"8,35M"	"0,00%"
31/08/2023	"9,175"	"9,2"	"9,25"	"9,175"	"32,00M"	"-0,27%"
30/08/2023	"9,2"	"9,175"	"9,3"	"9,175"	"41,63M"	"0,55%"
29/08/2023	"9,15"	"9,1"	"9,2"	"9,1"	"24,89M"	"0,55%"
28/08/2023	"9,1"	"9,1"	"9,15"	"9,075"	"10,97M"	"0,00%"
25/08/2023	"9,1"	"9,1"	"9,125"	"9,05"	"13,73M"	"-0,27%"
24/08/2023	"9,125"	"9,075"	"9,15"	"9,075"	"14,25M"	"0,55%"
23/08/2023	"9,075"	"9,1"	"9,125"	"9,075"	"13,67M"	"-0,27%"
22/08/2023	"9,1"	"9,125"	"9,15"	"9,075"	"15,36M"	"-0,27%"
21/08/2023	"9,125"	"9,075"	"9,125"	"9,05"	"17,98M"	"0,83%"
