Date,UNVR,Kurs,Covid,IHSG,Minyak Bumi,Emas,Residual Regresi
1/1/2013,4410,9690,0,4453.7,97.49,1662,-63.346740
2/1/2013,4570,9660,0,4795.79,92.05,1579.8,-723.833490
3/1/2013,4560,9715,0,4940.99,97.23,1597.4,-598.177340
4/1/2013,5250,9720,0,5034.07,93.46,1473.5,-535.475140
5/1/2013,6100,9790,0,5068.63,91.97,1394.2,-22.070520
6/1/2013,6150,9920,0,4818.9,96.56,1224.8,-33.359440
7/1/2013,6360,10270,0,4610.38,105.03,1313,1015.706380
8/1/2013,6240,10910,0,4195.09,107.65,1396.1,1667.982230
9/1/2013,6030,11570,0,4316.18,102.33,1327.7,901.748850
10/1/2013,6000,11265,0,4510.63,96.38,1324.5,411.100100
11/1/2013,5320,11955,0,4256.44,92.72,1251.3,-397.465950
12/1/2013,5200,12160,0,4274.18,98.42,1203,-431.002830
1/1/2014,5710,12205,0,4418.76,97.49,1240.3,7.765510
2/1/2014,5715,11604,0,4620.22,102.59,1321.9,281.245030
3/1/2014,5850,11355,0,4768.28,101.58,1284.1,113.116240
4/1/2014,5850,11558,0,4840.15,99.74,1296,-2.283800
5/1/2014,5825,11670,0,4893.91,102.71,1246.3,-99.574210
6/1/2014,5855,11845,0,4878.58,105.37,1322.4,289.528570
7/1/2014,6150,11575,0,5088.8,98.17,1282.8,-55.222210
8/1/2014,6205,11685,0,5136.86,95.96,1287.4,-130.178240
9/1/2014,6360,12180,0,5137.58,91.16,1212.3,-410.240410
10/1/2014,6080,12080,0,5089.55,80.54,1172.4,-1225.700350
11/1/2014,6360,12199,0,5149.89,66.15,1176,-1622.031790
12/1/2014,6460,12380,0,5226.95,53.27,1184.9,-2133.089190
1/1/2015,7165,12665,0,5289.4,48.24,1280,-1424.111350
2/1/2015,7200,12920,0,5450.29,49.76,1214,-1679.000000
3/1/2015,7930,13070,0,5518.67,47.6,1184.1,-1200.142540
4/1/2015,8520,12960,0,5086.42,59.63,1183.4,338.254090
5/1/2015,8660,13223,0,5216.38,60.3,1190.7,401.341570
6/1/2015,7900,13330,0,4910.66,59.47,1172.8,-147.361910
7/1/2015,8000,13525,0,4802.53,47.12,1095.1,-712.325730
8/1/2015,7945,14045,0,4509.61,49.2,1132.5,-276.040060
9/1/2015,7600,14645,0,4223.91,45.09,1116,-568.340180
10/1/2015,7400,13675,0,4455.18,46.59,1142.3,-851.916670
11/1/2015,7350,13830,0,4446.46,41.65,1066,-1337.382350
12/1/2015,7400,13785,0,4593.01,37.04,1060.8,-1648.392630
1/1/2016,7340,13770,0,4615.16,33.62,1116.8,-1711.626700
2/1/2016,8905,13367,0,4770.96,33.75,1235.1,59.981600
3/1/2016,8585,13255,0,4845.37,38.34,1237,-127.404900
4/1/2016,8515,13180,0,4838.58,45.92,1292.6,306.481070
5/1/2016,8620,13655,0,4796.87,49.1,1220.3,374.681940
6/1/2016,9015,13210,0,5016.65,48.33,1324,830.276780
7/1/2016,9010,13097,0,5215.99,41.6,1357.5,435.731980
8/1/2016,9130,13265,0,5386.08,44.7,1311.4,385.315460
9/1/2016,8910,13047,0,5364.8,48.24,1320.9,369.147750
10/1/2016,8895,13047,0,5422.54,46.86,1276.9,105.268490
11/1/2016,8105,13550,0,5148.91,49.44,1177,-601.950930
12/1/2016,7760,13470,0,5296.71,53.72,1154.3,-973.841370
1/1/2017,8240,13347,0,5294.1,52.81,1214.5,-350.620860
2/1/2017,8435,13331,0,5386.69,54.01,1257.2,-66.557750
3/1/2017,8665,13323,0,5568.11,50.6,1254.5,-172.081230
4/1/2017,8900,13327,0,5685.3,49.33,1271.7,-56.379540
5/1/2017,9235,13321,0,5738.15,48.32,1279,204.378210
6/1/2017,9760,13325,0,5829.71,46.04,1246,440.883000
7/1/2017,9790,13324,0,5840.94,50.17,1273.4,722.053130
8/1/2017,10110,13342,0,5864.06,47.23,1322.2,1037.231640
9/1/2017,9795,13470,0,5900.85,51.67,1288.9,779.906750
10/1/2017,9920,13560,0,6005.78,54.38,1274.7,877.223180
11/1/2017,9860,13524,0,5952.14,57.4,1281.1,1020.960150
12/1/2017,11180,13565,0,6355.65,60.42,1314,2173.806190
1/1/2018,10880,13387,0,6605.63,64.73,1348.4,1918.636940
2/1/2018,10780,13740,0,6597.22,61.64,1323.7,1618.141860
3/1/2018,9905,13760,0,6188.99,64.94,1333.3,1317.938320
4/1/2018,9270,13910,0,5994.6,68.57,1325.3,1008.778700
5/1/2018,9120,13890,0,5983.59,67.04,1310.8,759.447320
6/1/2018,9220,14325,0,5799.24,74.15,1260.2,1199.575720
7/1/2018,8650,14415,0,5936.44,68.76,1233.6,179.642980
8/1/2018,8770,14725,0,6018.46,69.8,1206.7,183.634760
9/1/2018,9405,14900,0,5976.55,73.25,1201.9,996.022140
10/1/2018,8645,15200,0,5831.65,65.31,1220.8,89.025380
11/1/2018,8450,14300,0,6056.12,50.93,1231.8,-921.364160
12/1/2018,9080,14375,0,6194.5,45.41,1287.7,-500.981340
1/1/2019,10000,13970,0,6532.97,53.79,1331.6,582.680080
2/1/2019,9735,14060,0,6443.35,57.22,1322.7,528.905360
3/1/2019,9845,14235,0,6468.75,60.14,1304.5,686.733400
4/1/2019,9100,14245,0,6455.35,63.91,1291.7,81.031660
5/1/2019,8900,14270,0,6209.12,53.5,1316.9,-255.025100
6/1/2019,9000,14125,0,6358.63,58.47,1419.6,222.163040
7/1/2019,8720,14012,0,6390.5,58.58,1437.8,-29.907320
8/1/2019,9770,14180,0,6328.47,55.1,1529.4,1203.804280
9/1/2019,9300,14190,0,6169.1,54.07,1479.6,696.662870
10/1/2019,8745,14032,0,6228.32,54.18,1521.8,214.551340
11/1/2019,8360,14100,0,6011.83,55.17,1478.1,-44.943530
12/1/2019,8400,13880,0,6299.54,61.06,1529.3,121.971430
1/1/2020,7950,13650,0,5940.05,51.56,1593.8,-195.101740
2/1/2020,6825,14340,0,5452.7,44.76,1571.8,-1202.595870
3/1/2020,7250,16300,0,4538.93,20.48,1596.6,-862.346630
4/1/2020,8275,14825,0,4716.4,18.84,1701,229.070330
5/1/2020,7750,14575,0,4753.61,35.49,1760.7,572.528200
6/1/2020,7900,14180,0,4905.39,39.27,1810,885.600990
7/1/2020,8400,14530,0,5149.63,40.27,1985.9,1715.602110
8/1/2020,8225,14560,0,5238.49,42.61,1978.6,1533.278390
9/1/2020,8100,14840,0,4870.04,40.22,1902.6,1439.263320
10/1/2020,7825,14620,0,5128.23,35.79,1887.2,670.586220
11/1/2020,7725,14090,0,5612.42,45.34,1784.8,203.476440
12/1/2020,7350,14040,0,5979.07,48.52,1899.6,-50.041610
1/1/2021,6925,14020,0,5862.35,52.2,1852.7,-340.056890
2/1/2021,7000,14240,0,6241.8,61.5,1731.6,-595.926290
3/1/2021,6575,14520,1,5985.52,59.16,1717.5,1396.789970
4/1/2021,6000,14440,1,5995.62,63.58,1769.8,1161.316610
5/1/2021,5850,14275,1,5947.46,66.32,1906.9,1588.985420
6/1/2021,4950,14495,1,5985.49,73.47,1773.5,563.774410
7/1/2021,4220,14460,1,6070.04,73.95,1817.2,-97.653570
8/1/2021,4050,14265,1,6150.3,68.5,1818.1,-581.736630
9/1/2021,3950,14310,1,6286.94,75.03,1758.5,-710.033910
10/1/2021,4420,14165,1,6591.35,83.57,1785.9,-85.275050
11/1/2021,4480,14320,1,6533.93,66.18,1778.3,-750.027150
12/1/2021,4110,14250,1,6581.48,75.21,1831,-615.103830
1/1/2022,4030,14380,1,6631.15,88.15,1799.2,-274.856610
2/1/2022,3680,14365,1,6888.17,95.72,1904,-233.860870
3/1/2022,3660,14368,1,7071.44,100.28,1959.5,-69.208010
4/1/2022,3890,14495,1,7228.91,104.69,1918.6,75.525010
5/1/2022,4730,14580,1,7148.97,114.67,1856.3,1242.950470
6/1/2022,4770,14895,1,6911.58,105.76,1816.3,1008.293610
7/1/2022,4510,14830,1,6951.12,98.62,1781.8,294.552540
8/1/2022,4590,14840,1,7178.59,89.55,1726.2,-411.689010
9/1/2022,4830,15225,1,7040.8,79.49,1684.9,-598.505420
10/1/2022,4640,15595,1,7098.89,86.53,1654.9,-628.513760
11/1/2022,4800,15730,1,7081.31,80.56,1775.1,-351.518180
12/1/2022,4700,15565,1,6850.62,80.47,1842.2,-27.207740
1/1/2023,4660,14985,1,6839.34,80.11,1962.2,287.688220
2/1/2023,4180,15245,1,6843.24,77.05,1853.2,-656.163910
3/1/2023,4350,14990,1,6805.28,75.67,2004.1,-56.912510
4/1/2023,4400,14665,1,6915.72,76.78,2018.3,-24.735330
5/1/2023,4530,14985,1,6633.26,68.09,1982.1,-104.019630
6/1/2023,4260,14990,1,6661.88,70.64,1929.4,-448.855310
7/1/2023,3850,15075,1,6931.36,81.8,2009.2,-398.432060
8/1/2023,3670,15225,0,6953.26,83.63,1965.9,-2959.492820
9/1/2023,3740,15450,1,6939.89,90.79,1885.4,-495.567750
10/1/2023,3620,15880,0,6752.21,81.02,1994.3,-2840.232750
11/1/2023,3650,15505,0,7080.74,75.96,2038.1,-3223.325040
