Date,High,Terakhir
8/2/2019,687.03,14116
8/5/2019,680.79,14180
8/6/2019,666.41,14255
8/7/2019,674.13,14265
8/8/2019,679.48,14222.5
8/9/2019,684.66,14208
8/12/2019,683.74,14190
8/13/2019,676.26,14247.5
8/14/2019,676.02,14317.5
8/15/2019,672.23,14245
8/16/2019,675.23,14267.5
8/19/2019,680.05,14235
8/20/2019,680.66,14235
8/21/2019,681.78,14260
8/22/2019,676.15,14240
8/23/2019,680.22,14235
8/26/2019,676.16,14212.5
8/27/2019,688.21,14240
8/28/2019,692.18,14255
8/29/2019,692.89,14255
8/30/2019,703.14,14237.5
9/2/2019,705.02,14185
9/3/2019,701.01,14194
9/4/2019,694.82,14225
9/5/2019,699.28,14152.5
9/6/2019,702.64,14150
9/9/2019,705.47,14095
9/10/2019,706.92,14031
9/11/2019,706.23,14050
9/12/2019,707.96,14060
9/13/2019,699.62,13990
9/16/2019,700.23,13965
9/17/2019,701.82,14040
9/18/2019,700.26,14095
9/19/2019,701.41,14060
9/20/2019,695.93,14060
9/23/2019,697.53,14055
9/24/2019,690.28,14085
9/25/2019,682.45,14112.5
9/26/2019,692.09,14150
9/27/2019,690.88,14177.5
9/30/2019,687.76,14165
10/1/2019,687.5,14195
10/2/2019,682.62,14212.5
10/3/2019,673.81,14195
10/4/2019,678.42,14172.5
10/7/2019,679.05,14135
10/8/2019,674.13,14162.5
10/9/2019,669.29,14155
10/10/2019,665.93,14170
10/11/2019,672.85,14151.5
10/14/2019,679.91,14128
10/15/2019,680.14,14139
10/16/2019,683.38,14165
10/17/2019,683.25,14169
10/18/2019,685,14148
10/21/2019,687.51,14144.5
10/22/2019,691.27,14078
10/23/2019,697.13,14040
10/24/2019,709.17,14029
10/25/2019,709,14059
10/28/2019,697.13,14035
10/29/2019,699.45,14025
10/30/2019,703.7,14025
10/31/2019,700.26,14027
11/1/2019,689.16,14037
11/4/2019,690.59,14035
11/5/2019,696.65,14015
11/6/2019,697.11,13967.5
11/7/2019,696.25,14015
11/8/2019,690.4,13994.5
11/11/2019,690.28,14014
11/12/2019,692.28,14063
11/13/2019,692.42,14055
11/14/2019,684.52,14081
11/15/2019,681.64,14085
11/18/2019,682.04,14073
11/19/2019,687.05,14076.5
11/20/2019,687.12,14090
11/21/2019,684.38,14094.5
11/22/2019,683.17,14087.5
11/25/2019,681.68,14085
11/26/2019,679.94,14075
11/27/2019,673.64,14085
11/28/2019,673.55,14095
11/29/2019,671.25,14090
12/2/2019,680.53,14105
12/3/2019,682.83,14125
12/4/2019,680.41,14105
12/5/2019,686.94,14105
12/6/2019,692.89,14065
12/9/2019,694.82,14037.5
12/10/2019,694.02,14015
12/11/2019,694.2,14010
12/12/2019,690.77,14035
12/13/2019,692.6,14025
12/16/2019,698.08,13985
12/17/2019,697.97,14005
12/18/2019,697.56,13990
12/19/2019,697.66,13975
12/20/2019,703.15,13985
12/23/2019,705.49,13977.5
12/26/2019,705.36,13967.5
12/27/2019,706.23,13967.5
12/30/2019,705.78,13967.5
1/2/2020,702.94,13955
1/3/2020,699.45,13950
1/6/2020,696.95,13924.5
1/7/2020,693.78,13882.5
1/8/2020,688.95,13882.5
1/9/2020,691.38,13889
1/10/2020,694.32,13925
1/13/2020,695.38,13940
1/14/2020,696.51,13875
1/15/2020,698.08,13892.5
1/16/2020,694.47,13850
1/17/2020,695.89,13762.5
1/20/2020,694.18,13668
1/21/2020,690.02,13670
1/22/2020,689.12,13665
1/23/2020,687.55,13630
1/24/2020,688.21,13637.5
1/27/2020,685.46,13632.5
1/28/2020,666.12,13657.5
1/29/2020,671.26,13644.5
1/30/2020,668.47,13630
1/31/2020,660.95,13572.5
2/3/2020,643.38,13605
2/4/2020,643.65,13637.5
2/5/2020,647.51,13627.5
2/6/2020,651.18,13645
2/7/2020,646.93,13655
2/10/2020,645.37,13742.5
2/11/2020,641.23,13710
2/12/2020,636.36,13675
2/13/2020,628.63,13620
2/14/2020,623.29,13675
2/17/2020,622.36,13695
2/18/2020,628.38,13665
2/19/2020,629.41,13660
2/20/2020,635.36,13680
2/21/2020,635.01,13675
2/24/2020,622.95,13652.5
2/25/2020,616.19,13665
2/26/2020,604.32,13687.5
2/27/2020,595.59,13707.5
2/28/2020,568.54,13765
3/2/2020,579.4,13870
3/3/2020,587.34,13882.5
3/4/2020,605.25,13932.5
3/5/2020,612.75,14035
3/6/2020,595.54,14347.5
3/9/2020,566.52,14265
3/10/2020,560.1,14281.5
3/11/2020,553.61,14115
3/12/2020,529.53,14170
3/13/2020,521.77,14230
3/16/2020,513.36,14392.5
3/17/2020,483.07,14346
3/18/2020,456.55,14352.5
3/19/2020,434.49,14521.5
3/20/2020,437.21,14770
3/23/2020,431.17,14925
3/24/2020,418.46,15170
3/26/2020,450.25,15217.5
3/27/2020,491.01,15912.5
3/30/2020,467.46,15925
3/31/2020,480.52,16575
4/1/2020,489.9,16500
4/2/2020,482.42,16305
4/3/2020,495.26,16140
4/6/2020,516.53,16337.5
4/7/2020,533.96,16310
4/8/2020,511.21,16450
4/9/2020,498.73,16475
4/13/2020,501.5,16425
4/14/2020,508.28,16412.5
4/15/2020,511.98,16175
4/16/2020,496.45,16175
4/17/2020,498.48,15820
4/20/2020,500.91,15630
4/21/2020,489.36,15630
4/22/2020,502.16,15565
4/23/2020,512,15640
4/24/2020,509.51,15430
4/27/2020,506.1,15412.5
4/28/2020,515.68,15455
4/29/2020,527.21,15450
4/30/2020,546.46,15400
5/4/2020,542.5,15400
5/5/2020,531.01,15385
5/6/2020,525.38,15422.5
5/8/2020,522.37,15295
5/11/2020,527.74,14875
5/12/2020,522.99,15100
5/13/2020,515.14,15080
5/14/2020,511.06,15045
5/15/2020,510.65,14920
5/18/2020,513.99,14895
5/19/2020,523.79,14905
5/20/2020,518.32,14865
5/26/2020,524.36,14885
5/27/2020,522.43,14860
5/28/2020,529.19,14850
5/29/2020,530.36,14770
6/2/2020,547.98,14710
6/3/2020,555.66,14755
6/4/2020,561.44,14710
6/5/2020,552.96,14715
6/8/2020,564.43,14610
6/9/2020,567.73,14415
6/10/2020,555.05,14095
6/11/2020,544.32,14095
6/12/2020,535.32,13870
6/15/2020,542.03,13885
6/16/2020,552.96,13890
6/17/2020,555.77,13980
6/18/2020,555.23,14015
6/19/2020,551.19,14125
6/22/2020,549.61,14115
6/23/2020,546.78,14090
6/24/2020,547.09,14082.5
6/25/2020,545.37,14085
6/26/2020,542.68,14100
6/29/2020,540.71,14185
6/30/2020,540.96,14160
7/1/2020,536.51,14130
7/2/2020,543.99,14175
7/3/2020,548.24,14220
7/6/2020,548.94,14245
7/7/2020,548.9,14255
7/8/2020,554.37,14265
7/9/2020,558.72,14378.5
7/10/2020,551.74,14510
7/13/2020,552.36,14490
7/14/2020,555.94,14440
7/15/2020,561.9,14410
7/16/2020,562.45,14395
7/17/2020,561.07,14435
7/20/2020,560.11,14425
7/21/2020,563.18,14450
7/22/2020,563.67,14587.5
7/23/2020,563.69,14625
7/24/2020,561.81,14695
7/27/2020,555.94,14785
7/28/2020,555.57,14738.5
7/29/2020,552.18,14650
7/30/2020,555.63,14580
8/3/2020,558.09,14610
8/4/2020,548.54,14520
8/5/2020,559.25,14535
8/6/2020,564.87,14535
8/7/2020,566.68,14600
8/10/2020,563.09,14630
8/11/2020,564.58,14620
8/12/2020,561.97,14550
8/13/2020,567.86,14585
8/14/2020,566.75,14580
8/18/2020,570.92,14590
8/19/2020,571.34,14620
8/24/2020,567.26,14685
8/25/2020,568.51,14700
8/26/2020,571.93,14720
8/27/2020,569.19,14830
8/28/2020,569.24,14770
8/31/2020,569.78,14670
9/1/2020,562.99,14640
9/2/2020,567.81,14670
9/3/2020,564.9,14650
9/4/2020,556.59,14615
9/7/2020,558.13,14560
9/8/2020,559.05,14565
9/9/2020,552.16,14740
9/10/2020,532.87,14760
9/11/2020,533.24,14740
9/14/2020,547.49,14730
9/15/2020,551.04,14760
9/16/2020,542.56,14780
9/17/2020,539.74,14820
9/18/2020,539.11,14860
9/21/2020,539.41,14860
9/22/2020,527.72,14835
9/23/2020,528.95,14825
9/24/2020,519.21,14820
9/25/2020,524.72,14730
9/28/2020,528.5,14690
9/29/2020,526.41,14750
9/30/2020,521.55,14780
10/1/2020,531.78,14845
10/2/2020,532.25,14845
10/5/2020,531.97,14850
10/6/2020,535.93,14845
10/7/2020,532.05,14840
10/8/2020,537.11,14820
10/9/2020,538.51,14830
10/12/2020,541.86,14790
10/13/2020,541.53,14710
10/14/2020,549.98,14690
10/15/2020,551.1,14685
8/1/2019,691.96,14675
,,14680
,,14680
,,14680
,,14660
,,Terakhir
