Tanggal,Kurs Beli,Kurs Jual ,Kurs Tengah,Tanggal,IHSG,
6/6/2014,11764,11882,11823,6/6/2014,4937.175781,
6/9/2014,11731,11849,11790,6/9/2014,4885.083008,
6/10/2014,11747,11865,11806,6/10/2014,4946.089844,
6/11/2014,11744,11862,11803,6/11/2014,4971.945801,
6/12/2014,11754,11872,11813,6/12/2014,4934.407227,
6/13/2014,11722,11840,11781,6/13/2014,4926.663086,
6/16/2014,11755,11873,11814,6/16/2014,4885.458984,
6/17/2014,11804,11922,11863,6/17/2014,4909.51709,
6/18/2014,11918,12038,11978,6/18/2014,4887.859863,
6/19/2014,11856,11976,11916,6/19/2014,4864.272949,
6/20/2014,11907,12027,11967,6/20/2014,4847.701172,
6/23/2014,11911,12031,11971,6/23/2014,4842.128906,
6/24/2014,11940,12060,12000,6/24/2014,4862.240234,
6/25/2014,11967,12087,12027,6/25/2014,4838.981934,
6/26/2014,12031,12151,12091,6/26/2014,4872.419922,
6/27/2014,12042,12164,12103,6/27/2014,4845.133789,
6/30/2014,11909,12029,11969,6/30/2014,4878.582031,
7/1/2014,11739,11857,11798,7/1/2014,4884.825195,
7/2/2014,11795,11913,11854,7/2/2014,4908.273926,
7/3/2014,11903,12023,11963,7/3/2014,4888.734863,
7/4/2014,11828,11946,11887,7/4/2014,4905.825195,
7/7/2014,11728,11846,11787,7/7/2014,4989.030762,
7/8/2014,11637,11753,11695,7/8/2014,5024.711914,
7/10/2014,11491,11607,11549,7/10/2014,5098.009766,
7/11/2014,11569,11685,11627,7/11/2014,5032.599121,
7/14/2014,11569,11685,11627,7/14/2014,5021.062988,
7/15/2014,11650,11768,11709,7/15/2014,5070.820801,
7/16/2014,11746,11864,11805,7/16/2014,5113.930176,
7/17/2014,11610,11726,11668,7/17/2014,5071.202148,
7/18/2014,11647,11765,11706,7/18/2014,5087.01416,
7/21/2014,11519,11635,11577,7/21/2014,5127.123047,
7/22/2014,11473,11589,11531,7/22/2014,5083.520996,
7/23/2014,11441,11555,11498,7/23/2014,5093.22998,
7/24/2014,11473,11589,11531,7/24/2014,5098.641113,
7/25/2014,11533,11649,11591,7/25/2014,5088.801758,
8/1/2014,11533,11649,11591,8/4/2014,5119.245117,
8/4/2014,11688,11806,11747,8/5/2014,5109.086914,
8/5/2014,11674,11792,11733,8/6/2014,5058.227051,
8/6/2014,11697,11815,11756,8/7/2014,5066.978027,
8/7/2014,11707,11825,11766,8/8/2014,5053.759766,
8/8/2014,11763,11881,11822,8/11/2014,5113.23584,
8/11/2014,11669,11787,11728,8/12/2014,5132.39502,
8/12/2014,11619,11735,11677,8/13/2014,5168.269043,
8/13/2014,11625,11741,11683,8/14/2014,5155.546875,
8/14/2014,11609,11725,11667,8/15/2014,5148.961914,
8/15/2014,11635,11751,11693,8/18/2014,5156.750977,
8/18/2014,11623,11739,11681,8/19/2014,5165.167969,
8/19/2014,11624,11740,11682,8/20/2014,5190.166992,
8/20/2014,11648,11766,11707,8/21/2014,5206.13623,
8/21/2014,11658,11776,11717,8/22/2014,5198.895996,
8/22/2014,11596,11712,11654,8/25/2014,5184.956055,
8/25/2014,11655,11773,11714,8/26/2014,5146.551758,
8/26/2014,11656,11774,11715,8/27/2014,5165.24707,
8/27/2014,11649,11767,11708,8/28/2014,5184.479004,
8/28/2014,11624,11740,11682,8/29/2014,5136.862793,
8/29/2014,11658,11776,11717,9/1/2014,5177.618164,
9/1/2014,11651,11769,11710,9/2/2014,5201.585938,
9/2/2014,11675,11793,11734,9/3/2014,5224.134766,
9/3/2014,11722,11840,11781,9/4/2014,5205.321777,
9/4/2014,11701,11819,11760,9/5/2014,5217.334961,
