Date,log_ihsg,log_idr ,log_sbusa,log_sbina,log_infina,log_emas,log_minyak,log_djia,Residual Regresi,Residual Kuadrat Regresi
28/02/2003,0.011884991,0.00068493,0.00694886,-0.001969134,-0.057706133,0.002560284,0.029086689,-0.008864934,0.01054,0.000111092
31/03/2003,-0.001324853,0.00087904,-0.003460532,-0.023119796,-0.025294437,-0.02287727,-0.034630042,0.005526093,-0.01032,0.000106502
30/04/2003,0.054155233,-0.011218106,0.003460532,-0.00963407,0.026435816,-0.016068774,-0.074740918,0.025737922,0.02151,0.00046268
30/05/2003,0.040365955,-0.01866846,0,-0.02324122,-0.02764893,0.034947335,0.008413562,0.018555568,0.00231,5.34E-06
30/06/2003,0.009311676,-0.001833021,-0.014010714,-0.038447826,-0.010450619,0.000817318,0.029941003,0.006583319,-0.00382,1.46E-05
31/07/2003,0.002130588,0.012161558,-0.082038457,-0.030164704,-0.046587882,-0.006544901,0.010298741,0.011841115,0.00275,7.56E-06
29/08/2003,0.018158587,-0.001277713,0.008515851,-0.011708638,0.016313448,0.010693084,0.016249741,0.008477684,0.00555,3.08E-05
30/09/2003,0.052438902,-0.004631146,-0.008515851,-0.014938643,-0.012177279,0.022556965,-0.043034632,-0.00654142,0.0434,0.00188356
31/10/2003,0.019810874,0.005244918,0,-0.011177352,0.010171296,-3.44E-05,0.033118464,0.023958979,0.00698,4.87E-05
28/11/2003,-0.005914965,0.0004087,-0.004321374,0.009321584,-0.068849875,0.012416845,0.001643642,-0.000827626,-0.01126,0.000126788
31/12/2003,0.049695906,-0.004362226,-0.008773924,-0.018775751,-0.03007543,0.018576679,0.012495372,0.028831092,0.02311,0.000534072
30/01/2004,0.036715563,0.001904239,0.008773924,-0.016570975,-0.029602663,0.007238938,0.019827776,0.001416405,0.03116,0.000970946
27/02/2004,0.004675125,-0.000205462,0.004321374,-0.026715994,-0.020289207,-0.009453667,-0.000554124,0.003950971,-0.0049,0.00002401
31/03/2004,-0.014743702,0.00566579,-0.004321374,-0.006953569,0.045663068,0.001915811,0.031282722,-0.009383221,-0.01025,0.000105063
30/04/2004,0.027303595,0.007092117,0,-0.012204111,0.063900807,-0.00365699,0.000515636,-0.005575802,0.03137,0.000984077
31/05/2004,-0.029173659,0.02721725,0,-0.000839954,0.038582574,-0.021502807,0.046966831,-0.001579408,-0.00356,1.27E-05
30/06/2004,-6.82E-05,0.006141828,0.012837225,-0.001032772,0.023516423,0.009613456,-0.02400816,0.010404312,-0.00476,2.27E-05
30/07/2004,0.014337198,-0.012657076,0.08753332,-0.001640826,0.022911793,0.006285474,0.027807182,-0.012486896,-0.00056,3.14E-07
31/08/2004,-0.001309475,0.011268813,0.054965492,-0.006343109,-0.033206663,0.002632096,0.045551126,0.001462784,0.00423,1.79E-05
30/09/2004,0.036108165,-0.010081242,0.051489839,-0.010464642,-0.026858293,0.005141808,-0.004982401,-0.004016154,0.01966,0.000386516
29/10/2004,0.020859497,-0.00319003,0.038686792,-0.005774073,-0.003477156,0.015969514,0.051894272,-0.002280794,0.01163,0.000135257
