Dates,IHSG,IDR,SBUSA,SBINA,INFINA,EMAS,MINYAK,DJIA
31/01/2003,388.443,8870,1.24,12.26172,8.68,356.86,30.75,8053.81
28/02/2003,399.22,8884,1.26,12.20625,7.6,358.97,32.88,7891.08
31/03/2003,398.004,8902,1.25,11.57344,7.17,340.55,30.36,7992.13
30/04/2003,450.861,8675,1.26,11.31953,7.62,328.18,25.56,8480.09
30/05/2003,494.776,8310,1.26,10.72969,7.15,355.68,26.06,8850.26
30/06/2003,505.499,8275,1.22,9.82063,6.98,356.35,27.92,8985.44
31/07/2003,507.985,8510,1.01,9.16167,6.27,351.02,28.59,9233.8
29/08/2003,529.675,8485,1.03,8.91797,6.51,359.77,29.68,9415.82
30/09/2003,597.652,8395,1.01,8.61643,6.33,378.95,26.88,9275.06
31/10/2003,625.546,8497,1.01,8.3975,6.48,378.92,29.01,9801.12
28/11/2003,617.084,8505,1,8.57969,5.53,389.91,29.12,9782.46
31/12/2003,691.895,8420,0.98,8.21667,5.16,406.95,29.97,10453.92
30/01/2004,752.932,8457,1,7.90906,4.82,413.79,31.37,10488.07
27/02/2004,761.081,8453,1.01,7.43719,4.6,404.88,31.33,10583.92
31/03/2004,735.677,8564,1,7.31906,5.11,406.67,33.67,10357.7
30/04/2004,783.413,8705,1,7.11625,5.92,403.26,33.71,10225.57
31/05/2004,732.516,9268,1,7.1025,6.47,383.78,37.56,10188.45
30/06/2004,732.401,9400,1.03,7.08563,6.83,392.37,35.54,10435.48
30/07/2004,756.983,9130,1.26,7.05891,7.2,398.09,37.89,10139.71
31/08/2004,754.704,9370,1.43,6.95656,6.67,400.51,42.08,10173.92
30/09/2004,820.134,9155,1.61,6.79094,6.27,405.28,41.6,10080.27
29/10/2004,860.487,9088,1.76,6.70125,6.22,420.46,46.88,10027.47
30/11/2004,977.767,9000,1.93,5.825,6.18,439.38,42.13,10428.02
31/12/2004,1000.233,9270,2.16,6.325,6.4,442.08,39.04,10783.01
31/01/2005,1045.435,9161,2.28,5.83438,7.32,424.03,42.97,10489.94
28/02/2005,1073.828,9285,2.5,5.475,7.15,423.35,44.82,10766.23
31/03/2005,1080.165,9465,2.63,4.93333,8.81,433.85,50.94,10503.76
29/04/2005,1029.613,9570,2.79,7.23828,8.12,429.23,50.64,10192.51
31/05/2005,1088.169,9518,3,6.1875,7.4,421.87,47.83,10467.48
30/06/2005,1122.376,9760,3.04,4.59375,7.42,430.66,53.89,10274.97
29/07/2005,1182.301,9805,3.26,7.03125,7.84,424.48,56.37,10640.91
31/08/2005,1050.09,10300,3.5,12.43611,8.33,437.93,61.89,10481.6
30/09/2005,1079.275,10300,3.62,4.20833,9.06,456.05,61.69,10568.7
